ticker,rsi_max,macd,stop_loss_pct,take_profit_pct,trades,wins,win_rate,avg_pnl_pct,total_pnl_pct,total_dollar_pnl,avg_hold_bars,best_trade,worst_trade,max_consec_losses
AMC,70,10/21/9,2.0,4.0,388,86,22.2,-0.078,-30.092,-3009.22,3.0,4.377,-2.913,50
AMC,65,12/26/9,0.5,4.0,325,69,21.2,-0.093,-30.126,-3012.57,3.2,4.377,-2.913,27
AMC,60,10/21/9,1.0,2.0,306,66,21.6,-0.099,-30.215,-3021.54,3.1,2.647,-1.623,40
AMC,60,10/21/9,2.0,2.0,306,66,21.6,-0.099,-30.215,-3021.54,3.1,2.647,-1.623,40
AMC,70,10/21/9,0.5,4.0,389,86,22.1,-0.078,-30.414,-3041.39,3.0,4.377,-2.913,50
AMC,65,12/26/9,0.5,6.0,325,69,21.2,-0.094,-30.462,-3046.24,3.2,4.04,-2.913,27
AMC,65,8/21/9,1.0,6.0,362,82,22.7,-0.084,-30.496,-3049.63,3.0,4.714,-2.913,25
AMC,65,8/21/9,2.0,6.0,362,82,22.7,-0.084,-30.496,-3049.63,3.0,4.714,-2.913,25
AMC,60,10/21/9,0.5,2.0,307,66,21.5,-0.099,-30.537,-3053.71,3.0,2.647,-1.623,40
AMC,60,10/21/9,1.0,4.0,305,66,21.6,-0.101,-30.751,-3075.12,3.1,3.0,-1.623,40
AMC,60,10/21/9,1.0,6.0,305,66,21.6,-0.101,-30.751,-3075.12,3.1,3.0,-1.623,40
AMC,60,10/21/9,2.0,4.0,305,66,21.6,-0.101,-30.751,-3075.12,3.1,3.0,-1.623,40
AMC,60,10/21/9,2.0,6.0,305,66,21.6,-0.101,-30.751,-3075.12,3.1,3.0,-1.623,40
AMC,65,8/21/9,0.5,6.0,364,82,22.5,-0.085,-30.822,-3082.16,3.0,4.714,-2.913,25
AMC,65,8/21/9,1.0,4.0,362,82,22.7,-0.085,-30.833,-3083.3,3.0,4.377,-2.913,25
AMC,65,8/21/9,2.0,4.0,362,82,22.7,-0.085,-30.833,-3083.3,3.0,4.377,-2.913,25
AMC,60,10/21/9,0.5,4.0,306,66,21.6,-0.102,-31.073,-3107.29,3.1,3.0,-1.623,40
AMC,60,10/21/9,0.5,6.0,306,66,21.6,-0.102,-31.073,-3107.29,3.1,3.0,-1.623,40
AMC,65,8/21/9,0.5,4.0,364,82,22.5,-0.086,-31.158,-3115.83,3.0,4.377,-2.913,25
AMC,65,10/21/9,1.0,2.0,354,73,20.6,-0.099,-35.221,-3522.1,3.0,4.377,-2.913,48
AMC,65,10/21/9,2.0,2.0,354,73,20.6,-0.099,-35.221,-3522.1,3.0,4.377,-2.913,48
AMC,65,10/21/9,0.5,2.0,355,73,20.6,-0.1,-35.543,-3554.27,2.9,4.377,-2.913,48
AMC,65,10/21/9,1.0,6.0,352,73,20.7,-0.101,-35.708,-3570.83,3.0,4.714,-2.913,48
AMC,65,10/21/9,2.0,6.0,352,73,20.7,-0.101,-35.708,-3570.83,3.0,4.714,-2.913,48
AMC,65,10/21/9,0.5,6.0,353,73,20.7,-0.102,-36.03,-3603.0,3.0,4.714,-2.913,48
AMC,65,10/21/9,1.0,4.0,352,73,20.7,-0.102,-36.045,-3604.5,3.0,4.377,-2.913,48
AMC,65,10/21/9,2.0,4.0,352,73,20.7,-0.102,-36.045,-3604.5,3.0,4.377,-2.913,48
AMC,65,10/21/9,0.5,4.0,353,73,20.7,-0.103,-36.367,-3636.67,3.0,4.377,-2.913,48
